Collocate	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
Leonard	1	17780	892	869	23	774	2024426	2827
Story	2	6240	212	128	84	191	335731	2265
Side	3	5820	193	118	75	171	297990	2230
West	4	6260	193	112	81	173	275599	2125
Gershwin	5	3460	111	68	43	99	165240	2182
Komponist	6	7200	150	88	62	117	127871	1559
George	7	3180	94	54	40	90	127794	2064
Chichester	8	820	45	25	20	27	108026	2957
Werk	9	9820	160	103	57	128	87263	1205
Candide	10	1680	55	41	14	46	83570	2211
Musical	11	9180	147	85	62	124	77235	1180
Komposition	12	3440	73	52	21	68	63932	1586
Karajan	13	1020	37	23	14	22	62365	2359
Psalms	14	360	22	10	12	12	57092	3112
New	15	4700	84	40	44	57	54945	1338
Uhr	16	26000	97	34	63	76	50242	-922
Stephen	17	760	28	1	27	26	47905	2382
Westside	18	460	21	11	10	20	43560	2691
Pretty	19	560	23	8	15	22	43534	2539
Yorker	20	1300	35	23	12	22	42537	1929
Somewhere	21	800	27	12	15	27	42325	2255
Sondheim	22	580	23	1	22	21	42170	2488
Mass	23	340	18	8	10	6	42034	2905
Tänze	24	1100	31	17	14	29	39816	1995
weltberühmt	25	520	21	7	14	20	39147	2514
amerikanisch	26	3180	57	33	24	42	37462	1342
Krefeld	27	4960	6	2	4	6	37151	-2547
Copland	28	860	26	8	18	24	36211	2097
Psalm	29	540	20	15	5	16	34387	2389
Strawinsky	30	680	22	12	10	18	32992	2194
Cooper	30	680	22	15	7	9	32992	2194
unvergesslich	32	460	18	5	13	16	32597	2469
Ouvertüre	33	1700	36	28	8	34	31399	1583
Tonight	34	860	24	13	11	24	30463	1981
Arthur	35	440	17	2	15	16	30424	2450
Aaron	36	840	23	8	15	21	28530	1954
Porter	37	480	17	9	8	15	27976	2325
Laurents	38	280	13	1	12	12	27344	2715
Dirigent	39	6640	86	47	39	62	26326	874
Dionysiuskirche	40	40	6	2	4	2	26091	4407
America	41	460	16	10	6	15	25858	2299
Stück	42	6480	84	55	29	72	25778	875
Barber	43	600	18	11	7	17	24848	2085
göttlich	44	100	8	4	4	2	24786	3500
Igor	45	820	21	11	10	18	23954	1857
Fauré	46	380	14	12	2	14	23946	2382
Cole	47	440	15	7	8	15	23753	2270
jüdisch	48	1800	33	14	19	22	22596	1375
Foto	49	2800	3	1	2	3	22381	-2722
Herbert	50	1200	25	13	12	22	21249	1559
York	51	3420	50	23	27	39	21245	1048
Romeo	52	1060	23	11	12	22	20816	1618
Tschaikowsky	53	500	15	13	2	15	20706	2085
Gabriel	53	500	15	12	3	15	20706	2085
Musik	55	15440	159	81	78	114	20205	543
